imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
1;Carmencita;1894;1 min;Documentary, Short;;5,9;1032;USA
1;Carmencita;1894;1 min;Documentary, Short;;5,9;1035;USA
3;Pauvre Pierrot;1892;4 min;Animation, Comedy, Short;1892-10-28;6,7;566;France
5;Blacksmith Scene;1893;1 min;Short;1893-05-09;6,2;1189;USA
8;Edison Kinetoscopic Record of a Sneeze;1894;1 min;Documentary, Short;1894-01-09;5,9;988;USA
10;Employees Leaving the Lumi�re Factory;1895;1 min;Documentary, Short;1895-03-22;6,9;3469;France
10;Employees Leaving the Lumi�re Factory;1895;1 min;Documentary, Short;1895-03-22;6,9;3478;France
12;The Arrival of a Train;1896;1 min;Documentary, Short;1896-01-01;7,3;5043;France
12;The Arrival of a Train;1896;1 min;Documentary, Short;1896-01-01;7,3;5128;France
14;Tables Turned on the Gardener;1895;1 min;Comedy, Short;;7,1;2554;France
23;The Sea;1895;1 min;Documentary, Short;1896-06-28;5,5;599;France
23;The Sea;1895;1 min;Documentary, Short;1896-06-28;5,5;604;France
29;Baby's Dinner;1895;1 min;Documentary, Short;1895-12-28;5,9;1669;France
70;D�molition d'un mur;1896;1 min;Documentary, Short;2005-04-15;6,4;1359;France
75;The Conjuring of a Woman at the House of Robert Houdin;1896;1 min;Short;;6,3;759;France
91;The House of the Devil;1896;3 min;Short, Horror;;6,8;1135;France
131;A Terrible Night;1896;1 min;Short, Comedy;;5,9;498;France
132;Une partie de cartes;1896;1 min;Short, Biography;;5,1;462;France
138;The Bewitched Inn;1897;2 min;Short, Comedy;;6,5;329;France
192;Ella Lola, a la Trilby;1898;;Short;;4,7;83;USA
211;A Trip to the Moon;1898;3 min;Short, Fantasy;;7,6;1057;France
211;A Trip to the Moon;1898;3 min;Short, Fantasy;;7,6;1058;France
211;A Trip to the Moon;1898;3 min;Short, Fantasy;;7,6;1058;France
230;Cinderella;1899;6 min;Drama, Short;1899-12-25;6,6;586;France
242;The Sign of the Cross;1899;3 min;Short, Fantasy;1900-06-30;6,3;388;France
246;A Turn of the Century Illusionist;1899;1 min;Short;;6,6;580;France
304;Grandma's Reading Glass;1900;2 min;Short;1900-11-01;6,1;555;UK
313;Let Me Dream Again;1900;1 min;Short, Comedy;1900-08-01;5,9;378;UK
359;The India Rubber Head;1901;3 min;Short, Comedy;;7,2;1439;France
364;Panorama of Esplanade by Night;1901;1 min;Documentary, Short;1901-11-01;5,6;87;USA
399;Jack and the Beanstalk;1902;10 min;Short, Fantasy;1902-07-15;6,2;442;USA
417;A Trip to the Moon;1902;13 min;Short, Adventure, Fantasy;1902-10-04;8,2;23904;France
420;Alice in Wonderland;1903;8 min;Fantasy, Short;1903-10-17;6,3;1572;UK
437;Faust et M�phistoph�l�s;1903;2 min;Short;;5,3;86;France
439;The Great Train Robbery;1903;11 min;Short, Western;1903-12-01;7,4;9847;USA
447;Life of an American Fireman;1903;6 min;Short, Action;1903-01-01;6,4;1158;USA
455;The Music Lover;1903;3 min;Short, Comedy, Music;1903-08-15;6,9;1121;France
465;Fairyland: A Kingdom of Fairies;1903;16 min;Short, Adventure, Fantasy;1903-09-05;7,3;574;France
469;The Sick Kitten;1903;1 min;Short, Comedy, Family;;5,9;468;UK
469;The Sick Kitten;1903;1 min;Short, Comedy, Family;;5,8;472;UK
488;The Land Beyond the Sunset;1912;14 min;Short, Drama, Fantasy;1912-10-28;7,1;448;USA
488;The Land Beyond the Sunset;1912;14 min;Short, Drama, Fantasy;1912-10-28;7,1;448;USA
498;Rescued by Rover;1905;7 min;Short, Drama, Family;1905-08-19;6,7;666;UK
499;The Voyage Across the Impossible;1904;24 min;Short, Adventure, Fantasy;1904-10-01;7,7;2022;France
516;The Electric Hotel;1908;8 min;Animation, Short;1908-12-19;6,7;481;Spain, France
524;New York Subway;1905;6 min;Short, Documentary;1905-06-05;5,7;466;USA
534;The '?' Motorist;1906;3 min;Fantasy, Short, Comedy;1906-10-01;6,8;467;UK
546;Dream of a Rarebit Fiend;1906;7 min;Short, Fantasy;1906-02-01;6,7;1082;USA
554;Humorous Phases of Funny Faces;1906;3 min;Animation, Short, Comedy;1906-04-06;6,2;625;USA
567;The 400 Tricks of the Devil;1906;17 min;Short, Fantasy;1972-07-01;6,8;424;France
574;The Story of the Kelly Gang;1906;70 min;Biography, Crime, Drama;1906-12-26;6,3;285;Australia
614;The Red Spectre;1907;9 min;Short, Fantasy;1907-08-17;6,5;442;France
614;The Red Spectre;1907;9 min;Short, Fantasy;1907-08-17;6,5;445;France
682;A Fantasy;1908;2 min;Animation, Short, Fantasy;1908-08-17;6,9;1245;France
832;A Corner in Wheat;1909;14 min;Short, Drama;1909-12-13;6,6;1375;USA
833;The Country Doctor;1909;14 min;Short, Drama;1909-07-08;6,6;294;USA
942;The Lonely Villa;1909;8 min;Short, Crime, Drama;1909-06-10;6,1;446;USA
1032;The Sealed Room;1909;11 min;Short, Drama;1909-09-02;6,1;428;USA
1062;Those Awful Hats;1909;2 min;Comedy, Short;1909-01-25;6,3;626;USA
1105;The Woman Always Pays;1910;38 min;Short, Drama;1912-04-18;6,6;429;Denmark
1223;Frankenstein;1910;16 min;Short, Fantasy, Horror;1910-03-18;6,5;2149;USA
1265;In the Border States;1910;17 min;Short, Drama, War;1910-06-13;6,5;331;USA
1431;The Unchanging Sea;1910;14 min;Drama, Short;1910-05-05;6,5;343;USA
